File;Date;Type;NbAlignedChar
fr_monograph\1.txt;1859;monograph;165389
fr_monograph\2.txt;1864;monograph;73340
fr_monograph\3.txt;1861;monograph;71530
fr_monograph\4.txt;1857;monograph;161566
fr_monograph\5.txt;1752;monograph;191998
fr_monograph\6.txt;1883;monograph;31640
fr_monograph\7.txt;1876;monograph;105119
fr_monograph\8.txt;1783;monograph;157154
fr_monograph\9.txt;1761;monograph;45658
fr_monograph\10.txt;1854;monograph;163052
fr_monograph\11.txt;1765;monograph;126612
fr_monograph\12.txt;1860;monograph;100884
fr_monograph\13.txt;1689;monograph;90728
fr_monograph\14.txt;1804;monograph;52351
fr_monograph\15.txt;1867;monograph;19467
fr_monograph\16.txt;1758;monograph;141150
fr_monograph\17.txt;1781;monograph;68597
fr_monograph\18.txt;1755;monograph;74352
eng_monograph\1.txt;1860;monograph;1975
eng_monograph\2.txt;1860;monograph;2766
eng_monograph\3.txt;1860;monograph;3645
eng_monograph\4.txt;1860;monograph;3424
eng_monograph\5.txt;1860;monograph;2723
eng_monograph\6.txt;1860;monograph;3570
eng_monograph\7.txt;1860;monograph;4020
eng_monograph\8.txt;1860;monograph;2563
eng_monograph\9.txt;1860;monograph;3550
eng_monograph\10.txt;1860;monograph;4196
eng_monograph\11.txt;1860;monograph;3491
eng_monograph\12.txt;1860;monograph;3713
eng_monograph\13.txt;1860;monograph;3082
eng_monograph\14.txt;1860;monograph;4316
eng_monograph\15.txt;1860;monograph;3190
eng_monograph\16.txt;1860;monograph;3634
eng_monograph\17.txt;1860;monograph;3357
eng_monograph\18.txt;1860;monograph;3219
eng_monograph\19.txt;1860;monograph;3188
eng_monograph\20.txt;1860;monograph;3656
eng_monograph\21.txt;1860;monograph;3614
eng_monograph\22.txt;1860;monograph;2691
eng_monograph\23.txt;1860;monograph;3557
eng_monograph\24.txt;1860;monograph;2311
eng_monograph\25.txt;1860;monograph;3838
eng_monograph\26.txt;1860;monograph;4929
eng_monograph\27.txt;1860;monograph;2147
eng_monograph\28.txt;1860;monograph;3777
eng_monograph\29.txt;1860;monograph;3894
eng_monograph\30.txt;1860;monograph;3131
eng_monograph\31.txt;1860;monograph;4428
eng_monograph\32.txt;1860;monograph;3572
eng_monograph\33.txt;1860;monograph;3703
eng_monograph\34.txt;1860;monograph;3880
eng_monograph\35.txt;1860;monograph;4920
eng_monograph\36.txt;1860;monograph;3251
eng_monograph\37.txt;1860;monograph;4398
eng_monograph\38.txt;1860;monograph;3693
eng_monograph\39.txt;1860;monograph;3541
eng_monograph\40.txt;1860;monograph;5014
eng_monograph\41.txt;1860;monograph;2088
eng_monograph\42.txt;1860;monograph;5075
eng_monograph\43.txt;1860;monograph;3056
eng_monograph\44.txt;1860;monograph;2999
eng_monograph\45.txt;1860;monograph;4653
eng_monograph\46.txt;1860;monograph;2824
eng_monograph\47.txt;1860;monograph;3403
eng_monograph\48.txt;1860;monograph;3280
eng_monograph\49.txt;1860;monograph;4035
eng_monograph\50.txt;1860;monograph;2453
eng_monograph\51.txt;1860;monograph;3444
eng_monograph\52.txt;1860;monograph;5389
eng_monograph\53.txt;1860;monograph;3732
eng_monograph\54.txt;1860;monograph;3579
eng_monograph\55.txt;1860;monograph;4110
eng_monograph\56.txt;1891;monograph;1404
eng_monograph\57.txt;1891;monograph;1438
eng_monograph\58.txt;1891;monograph;1157
eng_monograph\59.txt;1891;monograph;1356
eng_monograph\60.txt;1891;monograph;1366
eng_monograph\61.txt;1891;monograph;1285
eng_monograph\62.txt;1891;monograph;1391
eng_monograph\63.txt;1891;monograph;1238
eng_monograph\64.txt;1891;monograph;1341
eng_monograph\65.txt;1891;monograph;1422
eng_monograph\66.txt;1891;monograph;1273
eng_monograph\67.txt;1891;monograph;1267
eng_monograph\68.txt;1891;monograph;1327
eng_monograph\69.txt;1891;monograph;1267
eng_monograph\70.txt;1891;monograph;1375
eng_monograph\71.txt;1891;monograph;1313
eng_monograph\72.txt;1891;monograph;1323
eng_monograph\73.txt;1891;monograph;1403
eng_monograph\74.txt;1891;monograph;1418
eng_monograph\75.txt;1891;monograph;1380
eng_monograph\76.txt;1891;monograph;1241
eng_monograph\77.txt;1891;monograph;1413
eng_monograph\78.txt;1891;monograph;1382
eng_monograph\79.txt;1891;monograph;1331
eng_monograph\80.txt;1891;monograph;1404
eng_monograph\81.txt;1891;monograph;1398
eng_monograph\82.txt;1891;monograph;1448
eng_monograph\83.txt;1891;monograph;1328
eng_monograph\84.txt;1891;monograph;1358
eng_monograph\85.txt;1891;monograph;1287
eng_monograph\86.txt;1891;monograph;1390
eng_monograph\87.txt;1891;monograph;1355
eng_monograph\88.txt;1891;monograph;1131
eng_monograph\89.txt;1891;monograph;1034
eng_monograph\90.txt;1891;monograph;1264
eng_monograph\91.txt;1891;monograph;1126
eng_monograph\92.txt;1891;monograph;1358
eng_monograph\93.txt;1891;monograph;1388
eng_monograph\94.txt;1891;monograph;1374
eng_monograph\95.txt;1891;monograph;1354
eng_monograph\96.txt;1891;monograph;1330
eng_monograph\97.txt;1891;monograph;1300
eng_monograph\98.txt;1891;monograph;1293
eng_monograph\99.txt;1891;monograph;1220
eng_monograph\100.txt;1891;monograph;1257
eng_monograph\101.txt;1891;monograph;1368
eng_monograph\102.txt;1891;monograph;1446
eng_monograph\103.txt;1891;monograph;1286
eng_monograph\104.txt;1891;monograph;1423
eng_monograph\105.txt;1891;monograph;1149
eng_monograph\106.txt;1891;monograph;1593
eng_monograph\107.txt;1891;monograph;1441
eng_monograph\108.txt;1891;monograph;1188
eng_monograph\109.txt;1891;monograph;1222
eng_monograph\110.txt;1891;monograph;1017
eng_monograph\111.txt;1891;monograph;1155
eng_monograph\112.txt;1891;monograph;1328
eng_monograph\113.txt;1891;monograph;1222
eng_monograph\114.txt;1891;monograph;1275
eng_monograph\115.txt;1891;monograph;1193
eng_monograph\116.txt;1891;monograph;1618
eng_monograph\117.txt;1891;monograph;1322
eng_monograph\118.txt;1891;monograph;1394
eng_monograph\119.txt;1891;monograph;1322
eng_monograph\120.txt;1891;monograph;1267
eng_monograph\121.txt;1891;monograph;1145
eng_monograph\122.txt;1891;monograph;1346
eng_monograph\123.txt;1891;monograph;1419
eng_monograph\124.txt;1891;monograph;1234
eng_monograph\125.txt;1891;monograph;1338
eng_monograph\126.txt;1891;monograph;1374
eng_monograph\127.txt;1891;monograph;1316
eng_monograph\128.txt;1891;monograph;1301
eng_monograph\129.txt;1891;monograph;1164
eng_monograph\130.txt;1891;monograph;1110
eng_monograph\131.txt;1891;monograph;1198
eng_monograph\132.txt;1891;monograph;1194
eng_monograph\133.txt;1891;monograph;1311
eng_monograph\134.txt;1891;monograph;1549
eng_monograph\135.txt;1891;monograph;1332
eng_monograph\136.txt;1891;monograph;1162
eng_monograph\137.txt;1891;monograph;1416
eng_monograph\138.txt;1891;monograph;1132
eng_monograph\139.txt;1891;monograph;1121
eng_monograph\140.txt;1891;monograph;1030
eng_monograph\141.txt;1891;monograph;1086
eng_monograph\142.txt;1891;monograph;1115
eng_monograph\143.txt;1891;monograph;1016
eng_monograph\144.txt;1891;monograph;1213
eng_monograph\145.txt;1891;monograph;1116
eng_monograph\146.txt;1891;monograph;1244
eng_monograph\147.txt;1891;monograph;1180
eng_monograph\148.txt;1891;monograph;1325
eng_monograph\149.txt;1891;monograph;1080
eng_monograph\150.txt;1891;monograph;1012
eng_monograph\151.txt;1891;monograph;1100
eng_monograph\152.txt;1891;monograph;1122
eng_monograph\153.txt;1891;monograph;1195
eng_monograph\154.txt;1891;monograph;1154
eng_monograph\155.txt;1891;monograph;1158
eng_monograph\156.txt;1891;monograph;1150
eng_monograph\157.txt;1891;monograph;1141
eng_monograph\158.txt;1891;monograph;1350
eng_monograph\159.txt;1891;monograph;1403
eng_monograph\160.txt;1891;monograph;1259
eng_monograph\161.txt;1891;monograph;1274
eng_monograph\162.txt;1891;monograph;1416
eng_monograph\163.txt;1891;monograph;1405
eng_monograph\164.txt;1891;monograph;1425
eng_monograph\165.txt;1891;monograph;1373
eng_monograph\166.txt;1891;monograph;1392
eng_monograph\167.txt;1891;monograph;1275
eng_monograph\168.txt;1891;monograph;1128
eng_monograph\169.txt;1891;monograph;1715
eng_monograph\170.txt;1891;monograph;1436
eng_monograph\171.txt;1891;monograph;1209
eng_monograph\172.txt;1891;monograph;1443
eng_monograph\173.txt;1891;monograph;1189
eng_monograph\174.txt;1891;monograph;1620
eng_monograph\175.txt;1891;monograph;1197
eng_monograph\176.txt;1891;monograph;1191
eng_monograph\177.txt;1891;monograph;1269
eng_monograph\178.txt;1891;monograph;1055
eng_monograph\179.txt;1891;monograph;1082
eng_monograph\180.txt;1891;monograph;1316
eng_monograph\181.txt;1891;monograph;1035
eng_monograph\182.txt;1891;monograph;1344
eng_monograph\183.txt;1891;monograph;1439
eng_monograph\184.txt;1891;monograph;1447
eng_monograph\185.txt;1891;monograph;1297
eng_monograph\186.txt;1891;monograph;1373
eng_monograph\187.txt;1891;monograph;1464
eng_monograph\188.txt;1891;monograph;1395
eng_monograph\189.txt;1891;monograph;1184
eng_monograph\190.txt;1891;monograph;1191
eng_monograph\191.txt;1891;monograph;1291
eng_monograph\192.txt;1891;monograph;1336
eng_monograph\193.txt;1891;monograph;1366
eng_monograph\194.txt;1891;monograph;1319
eng_monograph\195.txt;1891;monograph;1342
eng_monograph\196.txt;1891;monograph;1430
eng_monograph\197.txt;1891;monograph;1221
eng_monograph\198.txt;1891;monograph;1491
eng_monograph\199.txt;1891;monograph;1389
eng_monograph\200.txt;1891;monograph;1358
eng_monograph\201.txt;1891;monograph;1331
eng_monograph\202.txt;1891;monograph;1085
eng_monograph\203.txt;1891;monograph;1021
eng_monograph\204.txt;1891;monograph;1129
eng_monograph\205.txt;1891;monograph;1144
eng_monograph\206.txt;1891;monograph;1305
eng_monograph\207.txt;1891;monograph;1201
eng_monograph\208.txt;1891;monograph;1558
eng_monograph\209.txt;1891;monograph;1467
eng_monograph\210.txt;1891;monograph;1175
eng_monograph\211.txt;1891;monograph;1229
eng_monograph\212.txt;1891;monograph;1386
eng_monograph\213.txt;1891;monograph;1536
eng_monograph\214.txt;1891;monograph;1386
eng_monograph\215.txt;1891;monograph;1107
eng_monograph\216.txt;1891;monograph;1278
eng_monograph\217.txt;1891;monograph;1467
eng_monograph\218.txt;1891;monograph;1481
eng_monograph\219.txt;1891;monograph;1003
eng_monograph\220.txt;1891;monograph;1238
eng_monograph\221.txt;1891;monograph;1168
eng_monograph\222.txt;1891;monograph;1086
eng_monograph\223.txt;1891;monograph;1132
eng_monograph\224.txt;1891;monograph;1131
eng_monograph\225.txt;1891;monograph;1210
eng_monograph\226.txt;1891;monograph;1259
eng_monograph\227.txt;1891;monograph;1446
eng_monograph\228.txt;1891;monograph;1519
eng_monograph\229.txt;1891;monograph;1428
eng_monograph\230.txt;1891;monograph;1362
eng_monograph\231.txt;1891;monograph;1286
eng_monograph\232.txt;1891;monograph;1139
eng_monograph\233.txt;1891;monograph;1195
eng_monograph\234.txt;1891;monograph;1161
eng_monograph\235.txt;1891;monograph;1036
eng_monograph\236.txt;1891;monograph;1140
eng_monograph\237.txt;1891;monograph;1401
eng_monograph\238.txt;1891;monograph;1474
eng_monograph\239.txt;1891;monograph;1350
eng_monograph\240.txt;1891;monograph;1272
eng_monograph\241.txt;1891;monograph;1179
eng_monograph\242.txt;1891;monograph;1268
eng_monograph\243.txt;1891;monograph;1078
eng_monograph\244.txt;1891;monograph;1077
eng_monograph\245.txt;1891;monograph;1271
eng_monograph\246.txt;1891;monograph;1520
eng_monograph\247.txt;1891;monograph;1175
eng_monograph\248.txt;1891;monograph;1008
eng_monograph\249.txt;1891;monograph;1042
eng_monograph\250.txt;1891;monograph;1188
eng_monograph\251.txt;1891;monograph;1185
eng_monograph\252.txt;1891;monograph;1231
eng_monograph\253.txt;1891;monograph;1267
eng_monograph\254.txt;1891;monograph;1353
eng_monograph\255.txt;1891;monograph;1588
eng_monograph\256.txt;1891;monograph;1323
eng_monograph\257.txt;1891;monograph;1290
eng_monograph\258.txt;1891;monograph;1386
eng_monograph\259.txt;1891;monograph;1203
eng_monograph\260.txt;1891;monograph;1317
eng_monograph\261.txt;1891;monograph;1321
eng_monograph\262.txt;1891;monograph;1227
eng_monograph\263.txt;1891;monograph;1194
eng_monograph\264.txt;1891;monograph;1243
eng_monograph\265.txt;1891;monograph;1274
eng_monograph\266.txt;1891;monograph;1468
eng_monograph\267.txt;1891;monograph;1391
eng_monograph\268.txt;1891;monograph;1384
eng_monograph\269.txt;1891;monograph;1462
eng_monograph\270.txt;1891;monograph;1368
eng_monograph\271.txt;1891;monograph;1351
eng_monograph\272.txt;1891;monograph;1234
eng_monograph\273.txt;1891;monograph;1194
eng_monograph\274.txt;1891;monograph;1493
eng_monograph\275.txt;1891;monograph;1534
eng_monograph\276.txt;1891;monograph;1548
eng_monograph\277.txt;1891;monograph;1519
eng_monograph\278.txt;1891;monograph;1442
eng_monograph\279.txt;1891;monograph;1574
eng_monograph\280.txt;1891;monograph;1224
eng_monograph\281.txt;1891;monograph;1315
eng_monograph\282.txt;1891;monograph;1320
eng_monograph\283.txt;1891;monograph;1427
eng_monograph\284.txt;1891;monograph;1432
eng_monograph\285.txt;1891;monograph;1413
eng_monograph\286.txt;1891;monograph;1401
eng_monograph\287.txt;1891;monograph;1540
eng_monograph\288.txt;1891;monograph;1407
eng_monograph\289.txt;1891;monograph;1330
eng_monograph\290.txt;1891;monograph;1478
eng_monograph\291.txt;1891;monograph;1344
eng_monograph\292.txt;1891;monograph;1087
eng_monograph\293.txt;1891;monograph;1262
eng_monograph\294.txt;1891;monograph;1020
eng_monograph\295.txt;1891;monograph;1030
eng_monograph\296.txt;1891;monograph;1044
eng_monograph\297.txt;1891;monograph;1480
eng_monograph\298.txt;1891;monograph;1358
eng_monograph\299.txt;1891;monograph;1257
eng_monograph\300.txt;1891;monograph;1271
eng_monograph\301.txt;1891;monograph;1248
eng_monograph\302.txt;1891;monograph;1126
eng_monograph\303.txt;1891;monograph;1277
eng_monograph\304.txt;1891;monograph;1436
eng_monograph\305.txt;1891;monograph;1359
eng_monograph\306.txt;1891;monograph;1378
eng_monograph\307.txt;1891;monograph;1248
eng_monograph\308.txt;1891;monograph;1354
eng_monograph\309.txt;1891;monograph;1310
eng_monograph\310.txt;1891;monograph;1174
eng_monograph\311.txt;1891;monograph;1168
eng_monograph\312.txt;1891;monograph;1073
eng_monograph\313.txt;1891;monograph;1102
eng_monograph\314.txt;1891;monograph;1270
eng_monograph\315.txt;1891;monograph;1226
eng_monograph\316.txt;1891;monograph;1403
eng_monograph\317.txt;1891;monograph;1507
eng_monograph\318.txt;1891;monograph;1250
eng_monograph\319.txt;1891;monograph;1183
eng_monograph\320.txt;1891;monograph;1329
eng_monograph\321.txt;1891;monograph;1358
eng_monograph\322.txt;1891;monograph;1133
eng_monograph\323.txt;1891;monograph;1389
eng_monograph\324.txt;1891;monograph;1521
eng_monograph\325.txt;1891;monograph;1293
eng_monograph\326.txt;1891;monograph;1410
eng_monograph\327.txt;1891;monograph;1102
eng_monograph\328.txt;1891;monograph;1031
eng_monograph\329.txt;1891;monograph;1297
eng_monograph\330.txt;1891;monograph;1370
eng_monograph\331.txt;1891;monograph;1276
eng_monograph\332.txt;1891;monograph;1011
eng_monograph\333.txt;1891;monograph;1278
eng_monograph\334.txt;1891;monograph;1263
eng_monograph\335.txt;1891;monograph;1129
eng_monograph\336.txt;1891;monograph;1322
eng_monograph\337.txt;1891;monograph;1010
eng_monograph\338.txt;1891;monograph;1328
eng_monograph\339.txt;1891;monograph;1241
eng_monograph\340.txt;1891;monograph;1325
eng_monograph\341.txt;1891;monograph;1855
eng_monograph\342.txt;1891;monograph;1334
eng_monograph\343.txt;1891;monograph;1213
eng_monograph\344.txt;1891;monograph;1148
eng_monograph\345.txt;1891;monograph;1051
eng_monograph\346.txt;1891;monograph;1043
eng_monograph\347.txt;1891;monograph;1397
eng_monograph\348.txt;1891;monograph;1054
eng_monograph\349.txt;1891;monograph;1007
eng_monograph\350.txt;1888;monograph;1279
eng_monograph\351.txt;1888;monograph;2124
eng_monograph\352.txt;1888;monograph;1991
eng_monograph\353.txt;1888;monograph;1739
eng_monograph\354.txt;1888;monograph;1637
eng_monograph\355.txt;1888;monograph;2162
eng_monograph\356.txt;1888;monograph;2154
eng_monograph\357.txt;1888;monograph;2203
eng_monograph\358.txt;1888;monograph;2101
eng_monograph\359.txt;1888;monograph;2096
eng_monograph\360.txt;1888;monograph;2190
eng_monograph\361.txt;1888;monograph;1162
eng_monograph\362.txt;1888;monograph;1954
eng_monograph\363.txt;1888;monograph;2173
eng_monograph\364.txt;1888;monograph;2059
eng_monograph\365.txt;1888;monograph;2239
eng_monograph\366.txt;1888;monograph;2189
eng_monograph\367.txt;1888;monograph;1274
eng_monograph\368.txt;1888;monograph;2246
eng_monograph\369.txt;1888;monograph;1709
eng_monograph\370.txt;1888;monograph;2207
eng_monograph\371.txt;1888;monograph;2153
eng_monograph\372.txt;1888;monograph;2112
eng_monograph\373.txt;1888;monograph;2134
eng_monograph\374.txt;1888;monograph;2171
eng_monograph\375.txt;1888;monograph;2184
eng_monograph\376.txt;1888;monograph;1128
eng_monograph\377.txt;1888;monograph;2205
eng_monograph\378.txt;1888;monograph;2197
eng_monograph\379.txt;1888;monograph;2107
eng_monograph\380.txt;1888;monograph;2142
eng_monograph\381.txt;1888;monograph;1740
eng_monograph\382.txt;1888;monograph;1367
eng_monograph\383.txt;1888;monograph;2201
eng_monograph\384.txt;1888;monograph;2206
eng_monograph\385.txt;1888;monograph;1673
eng_monograph\386.txt;1888;monograph;2124
eng_monograph\387.txt;1888;monograph;2167
eng_monograph\388.txt;1888;monograph;1161
eng_monograph\389.txt;1888;monograph;2271
eng_monograph\390.txt;1888;monograph;2146
eng_monograph\391.txt;1888;monograph;2103
eng_monograph\392.txt;1888;monograph;1981
eng_monograph\393.txt;1888;monograph;1979
eng_monograph\394.txt;1888;monograph;1623
eng_monograph\395.txt;1888;monograph;2254
eng_monograph\396.txt;1888;monograph;2258
eng_monograph\397.txt;1888;monograph;1585
eng_monograph\398.txt;1888;monograph;2093
eng_monograph\399.txt;1888;monograph;1926
eng_monograph\400.txt;1888;monograph;2187
eng_monograph\401.txt;1888;monograph;2168
eng_monograph\402.txt;1888;monograph;2202
eng_monograph\403.txt;1888;monograph;2211
eng_monograph\404.txt;1888;monograph;2212
eng_monograph\405.txt;1888;monograph;2176
eng_monograph\406.txt;1888;monograph;2250
eng_monograph\407.txt;1888;monograph;2221
eng_monograph\408.txt;1888;monograph;2252
eng_monograph\409.txt;1888;monograph;2188
eng_monograph\410.txt;1888;monograph;2204
eng_monograph\411.txt;1888;monograph;2273
eng_monograph\412.txt;1888;monograph;2172
eng_monograph\413.txt;1888;monograph;1869
eng_monograph\414.txt;1888;monograph;1643
eng_monograph\415.txt;1888;monograph;2201
eng_monograph\416.txt;1888;monograph;2209
eng_monograph\417.txt;1888;monograph;2102
eng_monograph\418.txt;1888;monograph;2186
eng_monograph\419.txt;1888;monograph;2200
eng_monograph\420.txt;1888;monograph;2160
eng_monograph\421.txt;1888;monograph;1896
eng_monograph\422.txt;1888;monograph;1629
eng_monograph\423.txt;1888;monograph;2198
eng_monograph\424.txt;1888;monograph;2197
eng_monograph\425.txt;1888;monograph;2255
eng_monograph\426.txt;1888;monograph;2145
eng_monograph\427.txt;1888;monograph;1281
eng_monograph\428.txt;1888;monograph;2238
eng_monograph\429.txt;1888;monograph;2123
eng_monograph\430.txt;1888;monograph;2116
eng_monograph\431.txt;1888;monograph;2188
eng_monograph\432.txt;1888;monograph;2196
eng_monograph\433.txt;1888;monograph;2127
eng_monograph\434.txt;1888;monograph;2040
eng_monograph\435.txt;1888;monograph;2169
eng_monograph\436.txt;1888;monograph;2109
eng_monograph\437.txt;1888;monograph;2235
eng_monograph\438.txt;1888;monograph;2211
eng_monograph\439.txt;1888;monograph;2189
eng_monograph\440.txt;1888;monograph;2174
eng_monograph\441.txt;1888;monograph;2197
eng_monograph\442.txt;1888;monograph;2155
eng_monograph\443.txt;1888;monograph;2214
eng_monograph\444.txt;1888;monograph;2152
eng_monograph\445.txt;1888;monograph;2218
eng_monograph\446.txt;1888;monograph;2242
eng_monograph\447.txt;1888;monograph;2163
eng_monograph\448.txt;1888;monograph;2161
eng_monograph\449.txt;1888;monograph;2242
eng_monograph\450.txt;1888;monograph;2112
eng_monograph\451.txt;1888;monograph;1194
eng_monograph\452.txt;1888;monograph;2186
eng_monograph\453.txt;1888;monograph;2116
eng_monograph\454.txt;1858;monograph;1187
eng_monograph\455.txt;1858;monograph;1064
eng_monograph\456.txt;1858;monograph;1322
eng_monograph\457.txt;1858;monograph;1047
eng_monograph\458.txt;1858;monograph;1228
eng_monograph\459.txt;1858;monograph;1376
eng_monograph\460.txt;1858;monograph;1304
eng_monograph\461.txt;1858;monograph;1423
eng_monograph\462.txt;1858;monograph;1523
eng_monograph\463.txt;1858;monograph;1396
eng_monograph\464.txt;1858;monograph;1305
eng_monograph\465.txt;1858;monograph;1421
eng_monograph\466.txt;1858;monograph;1523
eng_monograph\467.txt;1858;monograph;1386
eng_monograph\468.txt;1858;monograph;1400
eng_monograph\469.txt;1858;monograph;1394
eng_monograph\470.txt;1858;monograph;1488
eng_monograph\471.txt;1858;monograph;1390
eng_monograph\472.txt;1858;monograph;1363
eng_monograph\473.txt;1858;monograph;1348
eng_monograph\474.txt;1858;monograph;1318
eng_monograph\475.txt;1858;monograph;1435
eng_monograph\476.txt;1858;monograph;1437
eng_monograph\477.txt;1858;monograph;1452
eng_monograph\478.txt;1858;monograph;1383
eng_monograph\479.txt;1858;monograph;1400
